species,cornell_sample_id,batch_id,run_id,source,sample_type,collection_date,year,doy,age,sex,feather,state,county,town,latitude,longitude,weight_mg,h2_amp,percent_h,d2h_vs_vsmow_original,d2h_vs_vsmow_2017,comments
MALL,M19001,batch1,run_2,wingbee,feather,10/6/2019,2019,279,ahy,female,P1,WI,Winnebago,Nepeuskune,NA,NA,0.477,13378,6.2361400330758805,-115.5605804,-87.64256571,NA
MALL,M19021,batch1,run_2,wingbee,feather,10/1/2019,2019,274,ahy,male,P1,WI,Kenosha,Trevor,NA,NA,0.436,12245,6.267407242930788,-127.3979706,-97.72381399,NA
MALL,M19022,batch1,run_2,wingbee,feather,10/13/2019,2019,286,ahy,male,P1,WI,Oneida,Hazelhurst,NA,NA,0.38,9350,5.5739651235411944,-131.1629498,-100.9302379,NA
MALL,M19028,batch1,run_2,wingbee,feather,11/3/2019,2019,307,ahy,female,P1,WI,La Crosse,Hamilton,NA,NA,0.389,10659,6.186257877809274,-107.2978852,-80.60568671,NA
MALL,M19029,batch1,run_2,wingbee,feather,10/31/2019,2019,304,ahy,female,P1,WI,Rock,Evansville,NA,NA,0.428,11878,6.2697357190887715,-86.20945732,-62.64584294,NA
MALL,M19032,batch1,run_2,wingbee,feather,10/31/2019,2019,304,ahy,male,P1,WI,Rock,Evansville,NA,NA,0.436,12081,6.233689185433165,-109.2953975,-82.30685705,NA
MALL,M19033,batch1,run_2,wingbee,feather,11/7/2019,2019,311,ahy,female,P1,WI,Crawford,Ferryville,NA,NA,0.484,13306,6.1550457505438665,-105.9242405,-79.43582977,NA
MALL,M19035,batch1,run_2,wingbee,feather,11/9/2019,2019,313,ahy,female,P1,WI,Walworth,Whitewater,NA,NA,0.352,9700,6.233951506915312,-115.6571426,-87.72480238,NA
MALL,M19036,batch1,run_2,wingbee,feather,11/10/2019,2019,314,ahy,male,P1,WI,Walworth,Whitewater,NA,NA,0.42,11489,6.164033729130757,-151.9654779,-118.6465966,NA
MALL,M19038,batch1,run_2,wingbee,feather,11/20/2019,2019,324,ahy,male,P1,WI,Rock,Edgerton,NA,NA,0.44,12042,6.148775146015116,-105.6279271,-79.18347607,NA
MALL,M19040,batch1,run_2,wingbee,feather,10/16/2019,2019,289,ahy,female,P1,WI,Fond du Lac,Lamartine,NA,NA,0.402,11090,6.2689281451164796,-100.6776941,-74.96763735,NA
MALL,M19042,batch1,run_2,wingbee,feather,11/28/2019,2019,332,ahy,female,P1,WI,Jefferson,Cold Spring,NA,NA,0.471,12938,6.180553505,-106.205407,-79.6752836,NA
MALL,M19047,batch1,run_2,wingbee,feather,11/7/2019,2019,311,ahy,male,P3,WI,Winnebago,Winneconne,NA,NA,0.442,11942,6.119170434315208,-150.0597944,-117.0236317,NA
MALL,M19049,batch1,run_2,wingbee,feather,10/30/2019,2019,303,ahy,male,P1,WI,La Crosse,Stoddard,NA,NA,0.421,11513,6.1773656844230915,-141.3710894,-109.6239439,NA
MALL,M19052,batch1,run_3,wingbee,feather,11/17/2019,2019,321,ahy,male,P1,WI,Dane,Cross Plains,NA,NA,0.436,12205,5.328857713040434,-145.6490658,-113.2672589,NA
MALL,M19053,batch1,run_3,wingbee,feather,11/11/2019,2019,315,ahy,male,P1,WI,Walworth,Whitewater,NA,NA,0.41,11527,5.343520519149668,-93.22483026,-68.62044677,NA
MALL,M19054,batch1,run_3,wingbee,feather,11/6/2019,2019,310,ahy,male,P1,WI,Jefferson,Watertown,NA,NA,0.356,9822,5.309293176347749,-159.8099705,-125.3273156,NA
MALL,M19055,batch1,run_3,wingbee,feather,10/31/2019,2019,304,ahy,female,P1,WI,La Crosse,Stoddard,NA,NA,0.398,11070,5.334476109459058,-101.4732416,-75.64516096,NA
MALL,M19057,batch1,run_3,wingbee,feather,9/28/2019,2019,271,ahy,female,P1,WI,Calumet,Chilton,NA,NA,0.394,10982,5.305534217837274,-114.0529537,-86.35860366,NA
MALL,M19058,batch1,run_3,wingbee,feather,11/15/2019,2019,319,ahy,male,P1,WI,Dane,Waunakee,NA,NA,0.356,9854,5.3310536570551665,-129.311032,-99.35306221,P1-damaged so I put P2 in too
MALL,M19060,batch1,run_3,wingbee,feather,11/3/2019,2019,307,ahy,male,P2,WI,Sauk,Praire du Sac,NA,NA,0.415,11373,5.247021871386664,-134.420972,-103.7049146,NA
MALL,M19061,batch1,run_3,wingbee,feather,10/19/2019,2019,292,ahy,male,P1,WI,Racine,Mount Pleasant,NA,NA,0.445,12436,5.308773010421848,-100.2335407,-74.58937648,NA
MALL,M19063,batch1,run_3,wingbee,feather,10/17/2019,2019,290,ahy,female,P1,WI,Fond du Lac,Fond du Lac,NA,NA,0.452,12641,5.368774064097594,-103.671415,-77.51722326,NA
MALL,M19064,batch1,run_3,wingbee,feather,10/13/2019,2019,286,ahy,female,P1,WI,Ashland,Sanjoru,NA,NA,0.426,11985,5.351995713826425,-89.15371364,-65.15330266,NA
MALL,M19065,batch1,run_3,wingbee,feather,10/15/2019,2019,288,ahy,female,P1,WI,Manitowoc,Two Rivers,NA,NA,0.43,11860,5.307153482525967,-113.5191936,-85.90402978,NA
MALL,M19072,batch1,run_3,wingbee,feather,10/31/2019,2019,304,ahy,female,P1,WI,Buffalo,Buffalo City,NA,NA,0.471,11364,4.577226347308936,-89.25989173,-65.24372865,NA
MALL,M19073,batch1,run_3,wingbee,feather,10/29/2019,2019,302,ahy,female,P1,WI,Columbia,Winnebago,NA,NA,0.423,11729,5.343236528481541,-111.9207829,-84.5427521,NA
MALL,M19078,batch1,run_3,wingbee,feather,10/17/2019,2019,290,ahy,female,P1,WI,Taylor,Hammel,NA,NA,0.501,13754,5.265033675583627,-107.3426898,-80.64384428,NA
MALL,M19079,batch1,run_3,wingbee,feather,10/4/2019,2019,277,ahy,female,P1,WI,Dodge,Oak Grove,NA,NA,0.395,10775,5.261112109460106,-124.7960718,-95.50792119,NA
MALL,M19081,batch1,run_3,wingbee,feather,11/9/2019,2019,313,ahy,male,P1,WI,Sauk,Praire du Sac,NA,NA,0.385,10520,5.234947985877785,-120.1806729,-91.57724208,NA
MALL,M19083,batch1,run_3,wingbee,feather,11/11/2019,2019,315,ahy,male,P1,WI,Walworth,Whitewater,NA,NA,0.459,12607,5.245749339707993,-135.9237268,-104.9847274,NA
MALL,M19088,batch1,run_3,wingbee,feather,10/31/2019,2019,304,ahy,female,P1,WI,Dodge,Horicon Marsh,NA,NA,0.432,11897,5.287239875211772,-123.8471649,-94.69978986,NA
MALL,M19090,batch1,run_3,wingbee,feather,10/13/2019,2019,286,ahy,male,P1,WI,Winnebago,Rush Lake,NA,NA,0.445,12387,5.330580368173325,-100.9662651,-75.21339724,NA
MALL,M19091,batch1,run_3,wingbee,feather,10/29/2019,2019,302,ahy,female,P1,WI,Columbia,Winnebago,NA,NA,0.379,10500,5.308350866887254,-124.8228555,-95.53073135,NA
MALL,M19092,batch1,run_3,wingbee,feather,9/28/2019,2019,271,ahy,female,P1,WI,Waushburn,Birchwood,NA,NA,0.474,12626,5.1299311556248846,-119.5235166,-91.01757854,NA
MALL,M19094,batch1,run_3,wingbee,feather,11/9/2019,2019,313,ahy,male,P1,WI,Sauk,Praire du Sac,NA,NA,0.465,12545,5.2021083827436865,-163.0393148,-128.077569,NA
MALL,M19097,batch1,run_3,wingbee,feather,11/3/2019,2019,307,ahy,male,P1,WI,Sauk,Praire du Sac,NA,NA,0.463,12889,5.313906668340953,-103.4169702,-77.30052675,NA
MALL,M19098,batch1,run_3,wingbee,feather,11/2/2019,2019,306,ahy,male,P1,WI,Sauk,Praire du Sac,NA,NA,0.371,10000,5.195761365972362,-101.3441061,-75.53518341,NA
MALL,M19099,batch1,run_3,wingbee,feather,11/5/2019,2019,309,ahy,female,P2,WI,Manitowoc,Two Rivers,NA,NA,0.399,11175,5.392823206,-127.3692165,-97.69932571,NA
MALL,M19100,batch1,run_3,wingbee,feather,9/30/2019,2019,273,ahy,female,P1,WI,Shawano,Hartland,NA,NA,0.467,13036,5.339024023051527,-112.0786152,-84.67716911,NA
MALL,M19101,batch1,run_3,wingbee,feather,9/28/2019,2019,271,ahy,female,P1,WI,Oconto,Lakewood,NA,NA,0.373,10359,5.346817231117064,-113.696157,-86.05473976,NA
MALL,M19102,batch1,run_3,wingbee,feather,10/31/2019,2019,304,ahy,male,P1,WI,Dane,Cross Plains,NA,NA,0.428,11640,5.287238511469694,-119.529256,-91.02246644,NA
MALL,M19103,batch1,run_3,wingbee,feather,11/28/2019,2019,332,ahy,male,P1,WI,Walworth,Elkhorn,NA,NA,0.362,9643,5.166388331,-118.1240703,-89.82574776,NA
MALL,M19104,batch1,run_3,wingbee,feather,11/2/2019,2019,306,ahy,male,P1,WI,Buffalo,Buffalo City,NA,NA,0.379,10316,5.303353867,-151.9355738,-118.621129,NA
MALL,M19105,batch1,run_3,wingbee,feather,10/25/2019,2019,298,ahy,male,P1,WI,Columbia,Dekorra,NA,NA,0.39,10769,5.351641316140129,-130.9486616,-100.7477405,NA
MALL,M19106,batch1,run_3,wingbee,feather,10/13/2019,2019,286,ahy,male,P1,WI,Oneida,Hazelhurst,NA,NA,0.384,10482,5.2906940907887625,-127.3280844,-97.66429583,NA
MALL,M19107,batch1,run_3,wingbee,feather,11/20/2019,2019,324,ahy,female,P1,WI,Crawford,Ferryville,NA,NA,0.351,9558,5.280760278345639,-124.9797312,-95.66433371,NA
MALL,M19109,batch1,run_3,wingbee,feather,11/24/2019,2019,328,ahy,female,P1,WI,Buffalo,Buffalo City,NA,NA,0.474,13082,5.282580587529606,-135.9705982,-105.0246452,NA
MALL,M19110,batch1,run_3,wingbee,feather,10/16/2019,2019,289,ahy,male,P1,WI,Vernon,Stoddard,NA,NA,0.439,12062,5.259107016756812,-126.3504808,-96.83172504,NA
MALL,M19112,batch1,run_3,wingbee,feather,11/20/2019,2019,324,ahy,female,P1,WI,Waukesha,Lisbon,NA,NA,0.389,11061,5.284100423783142,-107.5922246,-80.85635921,NA
MALL,M19115,batch1,run_3,wingbee,feather,10/23/2019,2019,296,ahy,male,P1,WI,Green Lake,Marquette,NA,NA,0.376,9338,4.835092757,-129.1560693,-99.22108915,NA
MALL,M19116,batch1,run_3,wingbee,feather,10/28/2019,2019,301,ahy,male,P1,WI,La Crosse,NA,NA,NA,0.348,10647,5.943405703557896,-91.80912241,-67.41476695,NA
MALL,M19117,batch1,run_3,wingbee,feather,10/12/2019,2019,285,ahy,male,P1,WI,La Crosse,Hamilton,NA,NA,0.404,10627,5.075371783509494,-123.0867002,-94.05214428,NA
MALL,M19118,batch1,run_3,wingbee,feather,10/5/2019,2019,278,ahy,male,P2,WI,Calumet,Woodville,NA,NA,0.388,10643,5.343335150893315,-122.0564858,-93.17476783,NA
MALL,M19120,batch1,run_4,wingbee,feather,10/19/2019,2019,292,ahy,male,P1,WI,Douglas,Superior,NA,NA,0.489,13148,6.028099878013635,-122.9602414,-93.94444632,NA
MALL,M19122,batch1,run_4,wingbee,feather,10/25/2019,2019,298,ahy,male,P1,WI,Eau Claire,Clear Lake,NA,NA,0.419,11629,6.278135771450206,-98.54301865,-73.14965269,NA
MALL,M19123,batch1,run_4,wingbee,feather,9/28/2019,2019,271,ahy,female,P1,WI,Fond du Lac,Eldorado,NA,NA,0.445,11570,5.849842067844626,-95.12450222,-70.23829195,NA
MALL,M20010,batch1,run_4,wingbee,feather,11/24/2020,2020,329,ahy,male,P1,WI,Dane,NA,NA,NA,0.357,9969,6.260450307066496,-133.0456542,-102.5336327,flyway barcode not collected
MALL,M20014,batch1,run_4,wingbee,feather,11/15/2020,2020,320,ahy,male,P1,WI,Jefferson,NA,NA,NA,0.472,12906,6.086781482860538,-111.8522555,-84.48439115,flyway barcode not collected
MALL,M20015,batch1,run_4,wingbee,feather,11/18/2020,2020,323,ahy,female,P1,WI,Waukesha,NA,NA,NA,0.424,11725,6.213465342283901,-104.4083439,-78.14482472,flyway barcode not collected
MALL,M20016,batch1,run_4,wingbee,feather,9/27/2020,2020,271,ahy,male,P1,WI,Outagamie,NA,NA,NA,0.4,11101,6.183855767324707,-111.4707638,-84.15949584,flyway barcode not collected
MALL,M20017,batch1,run_4,wingbee,feather,11/15/2020,2020,320,ahy,male,P1,WI,Jefferson,NA,NA,NA,0.411,10880,5.937078169298632,-127.3294176,-97.66543123,flyway barcode not collected
MALL,M480388,batch3,run_4,wingbee,feather,11/1/2021,2021,305,ahy,female,P1,WI,Buffalo,NA,NA,NA,0.321,7164,5.627024281832095,-104.8868205,-78.1072502,NA
MALL,M497015,batch3,run_4,wingbee,feather,11/17/2021,2021,321,ahy,male,P1,WI,Brown,NA,NA,NA,0.348,7893,5.71403656,-100.0416109,-73.98085404,NA
MALL,M516189,batch3,run_4,wingbee,feather,10/2/2021,2021,275,ahy,female,P1,WI,Green Lake,NA,NA,NA,0.324,7235,5.6492065035085615,-130.3843914,-99.82211637,NA
MALL,M516194,batch3,run_4,wingbee,feather,10/3/2021,2021,276,ahy,female,P1,WI,Green Lake,NA,NA,NA,0.415,9296,5.637065114331489,-87.39717672,-63.21229116,NA
MALL,M518791,batch3,run_4,wingbee,feather,10/15/2021,2021,288,ahy,male,P1,WI,Marathon,NA,NA,NA,0.321,7130,5.575557424760581,-121.9756082,-92.66082239,NA
MALL,M522207,batch3,run_4,wingbee,feather,11/18/2021,2021,322,ahy,female,P1,WI,Dane,NA,NA,NA,0.329,7355,5.535898346812077,-161.5013021,-126.3226625,NA
MALL,M522235,batch3,run_4,wingbee,feather,11/13/2021,2021,317,ahy,male,P1,WI,Columbia,NA,NA,NA,0.4,8928,5.615153723970756,-131.4398564,-100.7209974,NA
MALL,M525008,batch3,run_4,wingbee,feather,10/15/2021,2021,288,ahy,male,P1,WI,Marathon,NA,NA,NA,0.33,7497,5.718943840415128,-108.650822,-81.31284145,NA
MALL,M525038,batch3,run_4,wingbee,feather,10/15/2021,2021,288,ahy,male,P1,WI,Marathon,NA,NA,NA,0.361,8089,5.6350593819811685,-128.1566982,-97.92491374,NA
MALL,M525049,batch3,run_4,wingbee,feather,10/15/2021,2021,288,ahy,male,P1,WI,Marathon,NA,NA,NA,0.454,10268,5.671874480828443,-118.9039108,-90.04482816,NA
MALL,M526320,batch3,run_4,wingbee,feather,11/2/2021,2021,306,ahy,female,P1,WI,Waushara,NA,NA,NA,0.363,8301,5.739097095485515,-79.8369948,-56.77370375,NA
MALL,M529562,batch3,run_4,wingbee,feather,11/28/2021,2021,332,ahy,male,P1,WI,Fond Du Lac,NA,NA,NA,0.427,9564,5.632927003233218,-95.45291234,-70.07291415,NA
MALL,M529576,batch3,run_4,wingbee,feather,12/4/2021,2021,338,ahy,male,P1,WI,Fond Du Lac,NA,NA,NA,0.406,9075,5.628494885723987,-106.6787206,-79.63331208,NA
MALL,M529902,batch3,run_5,wingbee,feather,11/5/2021,2021,309,ahy,male,P1,WI,Jefferson,NA,NA,NA,0.363,8187,5.507097373,-99.31826672,-96.31826672,NA
MALL,M529903,batch3,run_5,wingbee,feather,11/5/2021,2021,309,ahy,male,P1,WI,Jefferson,NA,NA,NA,0.319,7044,5.505484193240388,-64.93796147,-61.93796147,NA
MALL,M531364,batch3,run_5,wingbee,feather,10/17/2021,2021,290,ahy,female,P1,WI,Dodge,NA,NA,NA,0.371,8264,5.5305621579337805,-80.89534879,-77.89534879,NA
